name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Terry McLaurin,WR,WAS,44.6,174.7,196.8,158.8,5.89,26,68,7,NA
Javonte Williams,RB,DAL,45.7,198.6,222.5,178.6,6.3,31,61,14,NA
Joe Burrow,QB,CIN,45.8,350.9,380.9,309.0,12.34,27,72,6,NA
Luther Burden III,WR,CHI,46.3,173.4,196.8,148.5,7.39,28,83,10,NA
Jayden Daniels,QB,WAS,49.8,339.6,380.9,296.2,14.77,27,92,7,NA
Davante Adams,WR,LAR,50.7,171.9,178.8,151.2,8.08,36,81,11,NA
Travis Etienne Jr.,RB,NO,51.0,193.6,222.5,166.8,7.98,34,72,8,NA
DJ Moore,WR,BUF,52.1,169.7,196.8,155.9,9.31,28,76,7,NA
Tyler Warren,TE,IND,53.5,166.6,184.6,143.9,10.41,22,87,13,NA
Mike Evans,WR,SF,54.1,167.1,177.4,148.5,9.53,38,82,8,NA
Cam Skattebo,RB,NYG,54.8,189.6,214.2,149.2,8.9,39,86,8,NA
Jameson Williams,WR,DET,56.0,164.8,176.1,127.5,9.85,42,100,6,NA
Christian Watson,WR,GB,56.6,162.6,176.1,115.1,12.34,40,115,11,NA
Jalen Hurts,QB,PHI,56.9,328.2,380.9,309.0,11.02,27,79,10,NA
Bucky Irving,RB,TB,57.9,185.3,222.5,157.3,8.33,33,77,10,NA
Rome Odunze,WR,CHI,59.1,160.5,176.1,148.5,8.06,42,82,10,NA
D'Andre Swift,RB,CHI,59.5,181.7,206.7,157.3,7.42,43,80,10,NA
Quinshon Judkins,RB,CLE,61.0,178.6,210.1,157.3,8.96,41,78,11,NA
David Montgomery,RB,HOU,61.7,174.8,206.7,149.2,9.12,42,84,8,NA
TreVeyon Henderson,RB,NE,64.2,170.7,210.1,139.8,9.84,41,89,11,NA
Carnell Tate,WR,TEN,65.4,158.8,174.7,87.2,18.21,45,176,9,NA
Caleb Williams,QB,CHI,68.1,317.5,374.9,280.6,10.9,37,98,10,NA
Parker Washington,WR,JAC,69.8,157.5,174.7,109.3,18.03,45,126,7,NA
Marvin Harrison Jr.,WR,ARI,69.8,155.9,174.7,127.5,11.64,45,100,14,NA
Justin Herbert,QB,LAC,70.0,309.0,374.9,280.6,11.18,37,101,7,NA
Bhayshul Tuten,RB,JAC,70.0,166.8,198.6,134.7,10.68,47,99,7,NA
Tucker Kraft,TE,GB,72.9,160.0,184.6,133.3,12.62,32,111,11,NA
Jadarian Price,RB,SEA,75.7,162.4,206.7,139.8,8.56,43,89,11,NA
